case,cvc,pcvc
/home/cxcfan/dev/testbench/smt/bm/QF_UF/PEQ/PEQ003_size10.smt2,600000,600000
/home/cxcfan/dev/testbench/smt/bm/QF_UF/PEQ/PEQ011_size8.smt2,600000,600000
/home/cxcfan/dev/testbench/smt/bm/QF_UF/PEQ/PEQ004_size6.smt2,2165,1946
/home/cxcfan/dev/testbench/smt/bm/QF_UF/PEQ/PEQ013_size5.smt2,1104,1695
/home/cxcfan/dev/testbench/smt/bm/QF_UF/PEQ/PEQ016_size6.smt2,600000,600000
/home/cxcfan/dev/testbench/smt/bm/QF_UF/PEQ/PEQ012_size4.smt2,23462,19101
/home/cxcfan/dev/testbench/smt/bm/QF_UF/PEQ/PEQ010_size7.smt2,11075,17838
/home/cxcfan/dev/testbench/smt/bm/QF_UF/QG-classification/qg5/iso_icl990.smt2,99,110
/home/cxcfan/dev/testbench/smt/bm/QF_UF/QG-classification/qg5/gensys_icl713.smt2,471,654
/home/cxcfan/dev/testbench/smt/bm/QF_UF/QG-classification/qg5/iso_icl1139.smt2,63,98
/home/cxcfan/dev/testbench/smt/bm/QF_UF/QG-classification/qg5/iso_brn406.smt2,81,95
/home/cxcfan/dev/testbench/smt/bm/QF_UF/QG-classification/qg5/gensys_brn266.smt2,79,116
/home/cxcfan/dev/testbench/smt/bm/QF_UF/QG-classification/qg5/iso_brn905.smt2,99,119
/home/cxcfan/dev/testbench/smt/bm/QF_UF/QG-classification/qg5/iso_brn243.smt2,43,63
/home/cxcfan/dev/testbench/smt/bm/QF_UF/QG-classification/qg5/iso_brn617.smt2,56,71
/home/cxcfan/dev/testbench/smt/bm/QF_UF/QG-classification/qg5/gensys_icl1066.smt2,369,449
/home/cxcfan/dev/testbench/smt/bm/QF_UF/QG-classification/qg5/gensys_brn868.smt2,263,310
/home/cxcfan/dev/testbench/smt/bm/QF_UF/QG-classification/qg5/iso_brn806.smt2,67,92
/home/cxcfan/dev/testbench/smt/bm/QF_UF/QG-classification/qg5/gensys_brn542.smt2,111,160
/home/cxcfan/dev/testbench/smt/bm/QF_UF/QG-classification/qg5/iso_brn492.smt2,53,66
/home/cxcfan/dev/testbench/smt/bm/QF_UF/QG-classification/qg5/gensys_icl033.smt2,107,216
/home/cxcfan/dev/testbench/smt/bm/QF_UF/QG-classification/qg5/gensys_icl652.smt2,616,558
/home/cxcfan/dev/testbench/smt/bm/QF_UF/QG-classification/qg5/gensys_brn430.smt2,150,137
/home/cxcfan/dev/testbench/smt/bm/QF_UF/QG-classification/qg5/iso_icl288.smt2,65,85
/home/cxcfan/dev/testbench/smt/bm/QF_UF/QG-classification/qg5/gensys_brn236.smt2,125,183
/home/cxcfan/dev/testbench/smt/bm/QF_UF/QG-classification/qg5/iso_brn1067.smt2,91,99
/home/cxcfan/dev/testbench/smt/bm/QF_UF/QG-classification/qg5/iso_icl625.smt2,113,146
/home/cxcfan/dev/testbench/smt/bm/QF_UF/QG-classification/qg5/iso_icl1137.smt2,43,76
/home/cxcfan/dev/testbench/smt/bm/QF_UF/QG-classification/qg5/gensys_brn169.smt2,301,324
/home/cxcfan/dev/testbench/smt/bm/QF_UF/QG-classification/qg5/gensys_icl358.smt2,240,371
/home/cxcfan/dev/testbench/smt/bm/QF_UF/QG-classification/qg5/iso_brn525.smt2,76,96
/home/cxcfan/dev/testbench/smt/bm/QF_UF/QG-classification/qg5/gensys_icl1163.smt2,203,253
/home/cxcfan/dev/testbench/smt/bm/QF_UF/QG-classification/qg5/iso_icl105.smt2,119,248
/home/cxcfan/dev/testbench/smt/bm/QF_UF/QG-classification/qg5/gensys_icl1234.smt2,339,433
/home/cxcfan/dev/testbench/smt/bm/QF_UF/QG-classification/qg5/gensys_icl955.smt2,333,323
/home/cxcfan/dev/testbench/smt/bm/QF_UF/QG-classification/qg5/iso_icl241.smt2,57,72
/home/cxcfan/dev/testbench/smt/bm/QF_UF/QG-classification/qg5/iso_icl441.smt2,56,84
/home/cxcfan/dev/testbench/smt/bm/QF_UF/QG-classification/qg5/iso_icl850.smt2,96,98
/home/cxcfan/dev/testbench/smt/bm/QF_UF/QG-classification/qg5/gensys_icl778.smt2,207,248
/home/cxcfan/dev/testbench/smt/bm/QF_UF/QG-classification/qg5/gensys_icl492.smt2,137,173
/home/cxcfan/dev/testbench/smt/bm/QF_UF/QG-classification/qg5/gensys_brn1196.smt2,101,102
/home/cxcfan/dev/testbench/smt/bm/QF_UF/QG-classification/qg5/gensys_icl181.smt2,644,803
/home/cxcfan/dev/testbench/smt/bm/QF_UF/QG-classification/qg5/iso_icl372.smt2,82,94
/home/cxcfan/dev/testbench/smt/bm/QF_UF/QG-classification/qg5/iso_icl738.smt2,60,77
/home/cxcfan/dev/testbench/smt/bm/QF_UF/QG-classification/qg5/gensys_icl344.smt2,715,1021
/home/cxcfan/dev/testbench/smt/bm/QF_UF/QG-classification/qg5/gensys_brn119.smt2,293,305
/home/cxcfan/dev/testbench/smt/bm/QF_UF/QG-classification/qg5/gensys_brn479.smt2,152,156
/home/cxcfan/dev/testbench/smt/bm/QF_UF/QG-classification/qg5/iso_icl020.smt2,68,94
/home/cxcfan/dev/testbench/smt/bm/QF_UF/QG-classification/qg5/iso_brn187.smt2,75,101
/home/cxcfan/dev/testbench/smt/bm/QF_UF/QG-classification/qg5/gensys_icl578.smt2,906,1203
